City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Eureka,US,51.01,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
1,Bembereke,BJ,71.71,clear sky,10.2283,2.6634,Hotel Bio Guera
3,Cape Town,ZA,70.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,New Norfolk,AU,66.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
5,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
6,Gat,IL,55.0,clear sky,31.61,34.7642,OlusHome
7,Yanam,IN,68.0,mist,16.7333,82.2167,The Regency Hotel
9,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
10,Saint George,US,57.2,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
11,Busselton,AU,62.01,moderate rain,-33.65,115.3333,Observatory Guest House
12,Mahebourg,MU,75.0,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Cockburn Town,TC,77.5,clear sky,21.4612,-71.1419,Osprey Beach Hotel
14,Saint-Philippe,RE,78.8,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Ambilobe,MG,72.72,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
19,Ushuaia,AR,50.0,broken clouds,-54.8,-68.3,Albatros Hotel
20,Porterville,US,62.6,clear sky,36.0652,-119.0168,Holiday Inn Express & Suites Porterville
21,Hobart,AU,66.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
23,Kruisfontein,ZA,63.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
27,Cabo San Lucas,MX,69.8,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Lompoc,US,60.8,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
32,Pemba,MZ,77.61,overcast clouds,-12.974,40.5178,Guesthouse Samotina
34,Torbay,CA,42.8,broken clouds,47.6666,-52.7314,Gallows Cove
35,Rocha,UY,63.48,clear sky,-34.4833,-54.3333,Beleza Pura B&B
36,Caravelas,BR,77.92,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
37,Concordia,AR,70.0,clear sky,-31.393,-58.0209,Palmar Hotel Casino
40,Prabumulih,ID,77.72,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
42,Umm Lajj,SA,67.66,clear sky,25.0213,37.2685,Moon light Furnished Units
43,Bluff,NZ,61.45,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
45,Port Alfred,ZA,66.99,scattered clouds,-33.5906,26.891,The Halyards Hotel
46,Lufilufi,WS,77.0,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
49,Punta Arenas,CL,51.8,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
51,Chuy,UY,66.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
52,Sao Joao Da Barra,BR,71.1,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
54,Tuatapere,NZ,73.13,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
55,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
56,Rikitea,PF,78.78,broken clouds,-23.1203,-134.9692,Pension Maro'i
58,Huancavelica,PE,43.16,light rain,-12.7667,-74.9833,Hotel Victoria Huancavelica
59,Nogent-Le-Rotrou,FR,42.8,overcast clouds,48.3333,1.0,La Glatine
63,Atuona,PF,79.99,broken clouds,-9.8,-139.0333,Villa Enata
64,Ribeira Grande,PT,61.14,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
65,Neuquen,AR,78.8,clear sky,-38.9516,-68.0591,Hotel del Comahue
66,Nouakchott,MR,59.0,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
67,Payo,ID,77.49,overcast clouds,-3.7508,103.6372,Mess keban agung
69,Oussouye,SN,66.2,clear sky,12.485,-16.5469,Auberge du Routard
75,Ponte De Sor,PT,46.99,clear sky,39.2496,-8.0101,Monte das Texugueiras
76,Cururupu,BR,76.03,broken clouds,-1.8283,-44.8683,Pousada Través'cia
78,Rio Grande,BR,66.99,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
80,Hermanus,ZA,66.99,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
81,Trairi,BR,77.79,clear sky,-3.2778,-39.2689,janelas do mar
84,Castro,BR,61.34,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
85,Farafangana,MG,78.51,light rain,-22.8167,47.8333,Miarina
86,Laguna,US,57.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
87,Constitucion,CL,57.38,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
89,Mar Del Plata,AR,64.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Sao Felix Do Xingu,BR,73.26,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
91,Tolisa,BA,41.0,clear sky,44.8818,18.3201,Lost House
93,Narasannapeta,IN,68.04,clear sky,18.4167,84.05,G.lingaraju home
94,Kaitangata,NZ,66.0,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
95,Narsaq,GL,42.8,broken clouds,60.9167,-46.05,Hotel Narsaq
96,Salalah,OM,73.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
99,Port Lincoln,AU,62.55,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
101,Ilebo,CD,72.54,overcast clouds,-4.3167,20.5833,Hôtel des palmes
104,Ewo,CG,74.08,few clouds,-0.8725,14.8206,Residence Elonda Ewo
106,Vila Franca Do Campo,PT,59.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
